id,name,price,description,image,imagetwo,category,offer,newprice,created_at,updated_at
241,D.GRAY-MAN 09,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
242,D.GRAY-MAN 10,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
243,D.GRAY-MAN 11,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
244,D.GRAY-MAN 12,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
245,D.GRAY-MAN 13,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
246,D.GRAY-MAN 14,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
247,D.GRAY-MAN 15,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
248,D.GRAY-MAN 16,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
249,D.GRAY-MAN 17,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
250,D.GRAY-MAN 18,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
251,D.GRAY-MAN 19,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
252,D.GRAY-MAN 20,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
253,D.GRAY-MAN 21,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
254,D.GRAY-MAN 22,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
255,D.GRAY-MAN 23,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
256,D.GRAY-MAN 24,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
257,DANGANRONPA THE ANIMATION 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
258,DANGANRONPA THE ANIMATION 02                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
259,DANGANRONPA THE ANIMATION 03                                                    ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
260,DANGANRONPA THE ANIMATION 04,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
261,DEADMAN WONDERLAND 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
262,DEADMAN WONDERLAND 02,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
263,DEADMAN WONDERLAND 03,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
